grna_id	grna_target
safe_3	non-targeting
safe_4	non-targeting
safe_5	non-targeting
safe_7	non-targeting
safe_8	non-targeting
safe_9	non-targeting
safe_10	non-targeting
safe_11	non-targeting
safe_12	non-targeting
safe_13	non-targeting
safe_14	non-targeting
safe_15	non-targeting
safe_16	non-targeting
safe_18	non-targeting
safe_20	non-targeting
safe_21	non-targeting
safe_23	non-targeting
safe_24	non-targeting
safe_25	non-targeting
safe_27	non-targeting
safe_28	non-targeting
safe_29	non-targeting
safe_30	non-targeting
safe_31	non-targeting
safe_32	non-targeting
safe_33	non-targeting
safe_34	non-targeting
safe_35	non-targeting
safe_36	non-targeting
safe_37	non-targeting
safe_38	non-targeting
safe_39	non-targeting
safe_40	non-targeting
safe_42	non-targeting
safe_43	non-targeting
safe_44	non-targeting
safe_45	non-targeting
safe_46	non-targeting
safe_47	non-targeting
nontarget_1	non-targeting
nontarget_2	non-targeting
nontarget_3	non-targeting
nontarget_5	non-targeting
nontarget_6	non-targeting
nontarget_7	non-targeting
nontarget_8	non-targeting
nontarget_9	non-targeting
nontarget_10	non-targeting
nontarget_11	non-targeting
nontarget_12	non-targeting
nontarget_13	non-targeting
nontarget_14	non-targeting
nontarget_15	non-targeting
nontarget_16	non-targeting
nontarget_17	non-targeting
nontarget_18	non-targeting
nontarget_19	non-targeting
nontarget_20	non-targeting
nontarget_21	non-targeting
nontarget_22	non-targeting
nontarget_23	non-targeting
nontarget_24	non-targeting
nontarget_25	non-targeting
nontarget_26	non-targeting
nontarget_27	non-targeting
nontarget_28	non-targeting
nontarget_29	non-targeting
nontarget_30	non-targeting
nontarget_31	non-targeting
nontarget_36	non-targeting
nontarget_37	non-targeting
nontarget_38	non-targeting
nontarget_39	non-targeting
nontarget_41	non-targeting
nontarget_42	non-targeting
nontarget_43	non-targeting
nontarget_44	non-targeting
nontarget_45	non-targeting
nontarget_46	non-targeting
nontarget_47	non-targeting
nontarget_48	non-targeting
NC-1	non-targeting
NC-2	non-targeting
NC-3	non-targeting
NC-4	non-targeting
e-GATA1-1	e-GATA1-1
e-GATA1-2	e-GATA1-2
e-HDAC6-1	e-HDAC6-1
e-HDAC6-2	e-HDAC6-2
GATA1-TSS-1	GATA1-TSS-1
GATA1-TSS-2	GATA1-TSS-2
HDAC6-TSS-1	HDAC6-TSS-1
HDAC6-TSS-2	HDAC6-TSS-2
MYC-e2-1	MYC-e2-1
MYC-e2-2	MYC-e2-2
MYC-TSS-1	MYC-TSS-1
MYC-TSS-2	MYC-TSS-2
